nta_code,year,eviction_count
Lenox Hill-Roosevelt Island,2025,62
Lenox Hill-Roosevelt Island,2026,3
Lincoln Square,2017,44
Lincoln Square,2018,35
Lincoln Square,2019,41
Lincoln Square,2020,7
Lincoln Square,2022,12
Lincoln Square,2023,36
Lincoln Square,2024,40
Lincoln Square,2025,43
Lincoln Square,2026,6
Lindenwood-Howard Beach,2017,24
Lindenwood-Howard Beach,2018,18
Lindenwood-Howard Beach,2019,20
Lindenwood-Howard Beach,2022,1
Lindenwood-Howard Beach,2023,5
Lindenwood-Howard Beach,2024,11
Lindenwood-Howard Beach,2025,25
Longwood,2017,126
Longwood,2018,128
Longwood,2019,125
Longwood,2020,16
Longwood,2022,12
Longwood,2023,82
Longwood,2024,82
Longwood,2025,105
Longwood,2026,19
Lower East Side,2017,93
Lower East Side,2018,93
Lower East Side,2019,70
Lower East Side,2020,8
Lower East Side,2021,3
Lower East Side,2022,18
Lower East Side,2023,60
Lower East Side,2024,48
Lower East Side,2025,63
Lower East Side,2026,17
Madison,2017,29
Madison,2018,42
Madison,2019,38
Madison,2020,9
Madison,2021,1
Madison,2022,16
Madison,2023,25
Madison,2024,38
Madison,2025,38
Madison,2026,8
Manhattanville,2017,43
Manhattanville,2018,40
Manhattanville,2019,28
Manhattanville,2020,5
Manhattanville,2022,16
Manhattanville,2023,41
Manhattanville,2024,36
Manhattanville,2025,30
Manhattanville,2026,2
Marble Hill-Inwood,2017,138
Marble Hill-Inwood,2018,128
Marble Hill-Inwood,2019,146
Marble Hill-Inwood,2020,23
Marble Hill-Inwood,2021,2
Marble Hill-Inwood,2022,23
Marble Hill-Inwood,2023,107
Marble Hill-Inwood,2024,134
Marble Hill-Inwood,2025,102
Marble Hill-Inwood,2026,23
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2017,59
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2018,44
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2019,51
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2020,11
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2022,17
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2023,51
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2024,53
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2025,55
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2026,5
Maspeth,2017,24
Maspeth,2018,22
Maspeth,2019,27
Maspeth,2020,6
Maspeth,2022,2
Maspeth,2023,10
Maspeth,2024,18
Maspeth,2025,27
Melrose South-Mott Haven North,2017,166
Melrose South-Mott Haven North,2018,161
Melrose South-Mott Haven North,2019,148
Melrose South-Mott Haven North,2020,26
Melrose South-Mott Haven North,2022,22
Melrose South-Mott Haven North,2023,104
Melrose South-Mott Haven North,2024,100
Melrose South-Mott Haven North,2025,130
Melrose South-Mott Haven North,2026,17
Middle Village,2017,32
Middle Village,2018,20
Middle Village,2019,18
Middle Village,2020,2
Middle Village,2022,5
Middle Village,2023,9
Middle Village,2024,18
Middle Village,2025,20
Middle Village,2026,1
Midtown-Midtown South,2017,95
Midtown-Midtown South,2018,110
Midtown-Midtown South,2019,71
Midtown-Midtown South,2020,15
Midtown-Midtown South,2021,2
Midtown-Midtown South,2022,38
Midtown-Midtown South,2023,63
Midtown-Midtown South,2024,80
Midtown-Midtown South,2025,74
Midtown-Midtown South,2026,10
Midwood,2017,49
Midwood,2018,69
Midwood,2019,53
Midwood,2020,12
Midwood,2021,1
Midwood,2022,13
Midwood,2023,68
Midwood,2024,57
Midwood,2025,71
Midwood,2026,4
Morningside Heights,2017,34
Morningside Heights,2018,42
Morningside Heights,2019,34
Morningside Heights,2020,7
Morningside Heights,2022,16
Morningside Heights,2023,40
Morningside Heights,2024,37
Morningside Heights,2025,34
Morningside Heights,2026,4
Morrisania-Melrose,2017,244
Morrisania-Melrose,2018,271
Morrisania-Melrose,2019,213
Morrisania-Melrose,2020,48
Morrisania-Melrose,2022,16
Morrisania-Melrose,2023,112
Morrisania-Melrose,2024,149
Morrisania-Melrose,2025,224
Morrisania-Melrose,2026,28
Mott Haven-Port Morris,2017,187
Mott Haven-Port Morris,2018,211
Mott Haven-Port Morris,2019,171
Mott Haven-Port Morris,2020,29
Mott Haven-Port Morris,2022,44
Mott Haven-Port Morris,2023,132
Mott Haven-Port Morris,2024,148
Mott Haven-Port Morris,2025,177
Mott Haven-Port Morris,2026,26
Mount Hope,2017,311
Mount Hope,2018,242
Mount Hope,2019,248
Mount Hope,2020,40
Mount Hope,2022,42
Mount Hope,2023,166
Mount Hope,2024,190
Mount Hope,2025,284
Mount Hope,2026,31
Murray Hill,2017,42
Murray Hill,2018,53
Murray Hill,2019,45
Murray Hill,2020,7
Murray Hill,2022,11
Murray Hill,2023,22
Murray Hill,2024,39
Murray Hill,2025,33
Murray Hill,2026,5
Murray Hill-Kips Bay,2017,40
Murray Hill-Kips Bay,2018,41
Murray Hill-Kips Bay,2019,32
Murray Hill-Kips Bay,2020,6
Murray Hill-Kips Bay,2022,12
Murray Hill-Kips Bay,2023,49
Murray Hill-Kips Bay,2024,30
Murray Hill-Kips Bay,2025,40
Murray Hill-Kips Bay,2026,4
New Brighton-Silver Lake,2017,17
New Brighton-Silver Lake,2018,19
New Brighton-Silver Lake,2019,16
New Brighton-Silver Lake,2020,1
New Brighton-Silver Lake,2022,4
New Brighton-Silver Lake,2023,22
New Brighton-Silver Lake,2024,23
New Brighton-Silver Lake,2025,18
New Brighton-Silver Lake,2026,3
New Dorp-Midland Beach,2017,9
New Dorp-Midland Beach,2018,7
New Dorp-Midland Beach,2019,10
New Dorp-Midland Beach,2020,3
New Dorp-Midland Beach,2021,1
New Dorp-Midland Beach,2022,16
New Dorp-Midland Beach,2023,18
New Dorp-Midland Beach,2024,23
New Dorp-Midland Beach,2025,14
New Dorp-Midland Beach,2026,2
New Springville-Bloomfield-Travis,2017,13
New Springville-Bloomfield-Travis,2018,18
New Springville-Bloomfield-Travis,2019,16
New Springville-Bloomfield-Travis,2020,1
New Springville-Bloomfield-Travis,2021,1
New Springville-Bloomfield-Travis,2022,11
New Springville-Bloomfield-Travis,2023,13
New Springville-Bloomfield-Travis,2024,31
New Springville-Bloomfield-Travis,2025,27
New Springville-Bloomfield-Travis,2026,6
North Corona,2017,53
North Corona,2018,43
North Corona,2019,33
North Corona,2020,2
North Corona,2022,8
North Corona,2023,16
North Corona,2024,38
North Corona,2025,45
North Corona,2026,4
North Riverdale-Fieldston-Riverdale,2017,41
North Riverdale-Fieldston-Riverdale,2018,29
North Riverdale-Fieldston-Riverdale,2019,26
North Riverdale-Fieldston-Riverdale,2020,3
North Riverdale-Fieldston-Riverdale,2022,5
North Riverdale-Fieldston-Riverdale,2023,21
North Riverdale-Fieldston-Riverdale,2024,22
North Riverdale-Fieldston-Riverdale,2025,30
North Side-South Side,2017,48
North Side-South Side,2018,52
North Side-South Side,2019,48
North Side-South Side,2020,11
North Side-South Side,2021,3
North Side-South Side,2022,26
North Side-South Side,2023,48
North Side-South Side,2024,55
North Side-South Side,2025,65
North Side-South Side,2026,8
Norwood,2017,202
Norwood,2018,178
Norwood,2019,149
Norwood,2020,34
Norwood,2021,1
Norwood,2022,35
Norwood,2023,107
Norwood,2024,113
Norwood,2025,186
Norwood,2026,22
Oakland Gardens,2017,9
Oakland Gardens,2018,13
Oakland Gardens,2019,15
Oakland Gardens,2020,1
Oakland Gardens,2022,1
Oakland Gardens,2023,2
Oakland Gardens,2024,10
Oakland Gardens,2025,17
Oakland Gardens,2026,4
Oakwood-Oakwood Beach,2017,20
Oakwood-Oakwood Beach,2018,30
Oakwood-Oakwood Beach,2019,11
Oakwood-Oakwood Beach,2020,3
Oakwood-Oakwood Beach,2022,12
Oakwood-Oakwood Beach,2023,22
Oakwood-Oakwood Beach,2024,11
Oakwood-Oakwood Beach,2025,21
Oakwood-Oakwood Beach,2026,7
Ocean Hill,2017,165
Ocean Hill,2018,169
Ocean Hill,2019,160
Ocean Hill,2020,25
Ocean Hill,2022,48
Ocean Hill,2023,93
Ocean Hill,2024,104
Ocean Hill,2025,125
Ocean Hill,2026,18
Ocean Parkway South,2017,13
Ocean Parkway South,2018,16
Ocean Parkway South,2019,15
Ocean Parkway South,2020,7
Ocean Parkway South,2022,7
Ocean Parkway South,2023,17
Ocean Parkway South,2024,14
Ocean Parkway South,2025,14
Old Astoria,2017,43
Old Astoria,2018,27
Old Astoria,2019,29
Old Astoria,2020,8
Old Astoria,2021,1
Old Astoria,2022,4
Old Astoria,2023,22
Old Astoria,2024,43
Old Astoria,2025,53
Old Astoria,2026,4
Old Town-Dongan Hills-South Beach,2017,13
Old Town-Dongan Hills-South Beach,2018,18
Old Town-Dongan Hills-South Beach,2019,10
Old Town-Dongan Hills-South Beach,2020,2
Old Town-Dongan Hills-South Beach,2021,1
Old Town-Dongan Hills-South Beach,2022,4
Old Town-Dongan Hills-South Beach,2023,16
Old Town-Dongan Hills-South Beach,2024,18
Old Town-Dongan Hills-South Beach,2025,15
Old Town-Dongan Hills-South Beach,2026,2
Ozone Park,2017,22
Ozone Park,2018,15
Ozone Park,2019,46
Ozone Park,2020,6
Ozone Park,2022,4
Ozone Park,2023,3
Ozone Park,2024,12
Ozone Park,2025,26
Ozone Park,2026,2
Park Slope-Gowanus,2017,15
Park Slope-Gowanus,2018,27
Park Slope-Gowanus,2019,25
Park Slope-Gowanus,2020,8
Park Slope-Gowanus,2021,2
Park Slope-Gowanus,2022,17
Park Slope-Gowanus,2023,20
Park Slope-Gowanus,2024,31
Park Slope-Gowanus,2025,32
Park Slope-Gowanus,2026,3
Parkchester,2017,112
Parkchester,2018,95
Parkchester,2019,83
Parkchester,2020,16
Parkchester,2022,16
Parkchester,2023,58
Parkchester,2024,72
Parkchester,2025,103
Parkchester,2026,9
Pelham Bay-Country Club-City Island,2017,49
Pelham Bay-Country Club-City Island,2018,53
Pelham Bay-Country Club-City Island,2019,51
Pelham Bay-Country Club-City Island,2020,9
Pelham Bay-Country Club-City Island,2022,12
Pelham Bay-Country Club-City Island,2023,32
Pelham Bay-Country Club-City Island,2024,37
Pelham Bay-Country Club-City Island,2025,39
Pelham Bay-Country Club-City Island,2026,7
Pelham Parkway,2017,92
Pelham Parkway,2018,94
Pelham Parkway,2019,77
Pelham Parkway,2020,12
Pelham Parkway,2022,21
Pelham Parkway,2023,53
Pelham Parkway,2024,79
Pelham Parkway,2025,79
Pelham Parkway,2026,4
Pomonok-Flushing Heights-Hillcrest,2017,29
Pomonok-Flushing Heights-Hillcrest,2018,36
Pomonok-Flushing Heights-Hillcrest,2019,33
Pomonok-Flushing Heights-Hillcrest,2020,4
Pomonok-Flushing Heights-Hillcrest,2022,8
Pomonok-Flushing Heights-Hillcrest,2023,14
Pomonok-Flushing Heights-Hillcrest,2024,26
Pomonok-Flushing Heights-Hillcrest,2025,50
Pomonok-Flushing Heights-Hillcrest,2026,5
Port Richmond,2017,25
Port Richmond,2018,25
Port Richmond,2019,30
Port Richmond,2020,2
Port Richmond,2022,13
Port Richmond,2023,30
Port Richmond,2024,34
Port Richmond,2025,25
Prospect Heights,2017,22
Prospect Heights,2018,14
Prospect Heights,2019,12
Prospect Heights,2020,1
Prospect Heights,2022,9
Prospect Heights,2023,10
Prospect Heights,2024,8
Prospect Heights,2025,19
Prospect Heights,2026,3
Prospect Lefferts Gardens-Wingate,2017,236
Prospect Lefferts Gardens-Wingate,2018,185
Prospect Lefferts Gardens-Wingate,2019,177
Prospect Lefferts Gardens-Wingate,2020,44
Prospect Lefferts Gardens-Wingate,2021,4
Prospect Lefferts Gardens-Wingate,2022,75
Prospect Lefferts Gardens-Wingate,2023,161
Prospect Lefferts Gardens-Wingate,2024,203
Prospect Lefferts Gardens-Wingate,2025,212
Prospect Lefferts Gardens-Wingate,2026,22
Queens Village,2017,83
Queens Village,2018,90
Queens Village,2019,86
Queens Village,2020,10
Queens Village,2022,12
Queens Village,2023,31
Queens Village,2024,57
Queens Village,2025,64
Queens Village,2026,9
Queensboro Hill,2017,13
Queensboro Hill,2018,8
Queensboro Hill,2019,12
Queensboro Hill,2020,2
Queensboro Hill,2022,3
Queensboro Hill,2023,5
Queensboro Hill,2024,10
Queensboro Hill,2025,12
Queensboro Hill,2026,1
Queensbridge-Ravenswood-Long Island City,2017,42
Queensbridge-Ravenswood-Long Island City,2018,42
Queensbridge-Ravenswood-Long Island City,2019,27
Queensbridge-Ravenswood-Long Island City,2020,4
Queensbridge-Ravenswood-Long Island City,2022,6
Queensbridge-Ravenswood-Long Island City,2023,13
Queensbridge-Ravenswood-Long Island City,2024,24
Queensbridge-Ravenswood-Long Island City,2025,57
Queensbridge-Ravenswood-Long Island City,2026,9
Rego Park,2017,27
Rego Park,2018,31
Rego Park,2019,22
Rego Park,2020,8
Rego Park,2022,7
Rego Park,2023,20
Rego Park,2024,38
Rego Park,2025,40
Rego Park,2026,2
Richmond Hill,2017,87
Richmond Hill,2018,64
Richmond Hill,2019,81
Richmond Hill,2020,11
Richmond Hill,2022,19
Richmond Hill,2023,40
Richmond Hill,2024,96
Richmond Hill,2025,75
Richmond Hill,2026,10
Ridgewood,2017,106
Ridgewood,2018,83
Ridgewood,2019,49
Ridgewood,2020,14
Ridgewood,2022,21
Ridgewood,2023,36
Ridgewood,2024,77
Ridgewood,2025,82
Ridgewood,2026,8
Rosedale,2017,52
Rosedale,2018,48
Rosedale,2019,38
Rosedale,2020,5
Rosedale,2022,6
Rosedale,2023,19
Rosedale,2024,28
Rosedale,2025,35
Rosedale,2026,5
Rossville-Woodrow,2017,4
Rossville-Woodrow,2018,9
Rossville-Woodrow,2019,4
Rossville-Woodrow,2020,1
Rossville-Woodrow,2022,4
Rossville-Woodrow,2023,9
Rossville-Woodrow,2024,5
Rossville-Woodrow,2025,11
Rugby-Remsen Village,2017,210
Rugby-Remsen Village,2018,213
Rugby-Remsen Village,2019,183
Rugby-Remsen Village,2020,32
Rugby-Remsen Village,2021,2
Rugby-Remsen Village,2022,52
Rugby-Remsen Village,2023,105
Rugby-Remsen Village,2024,135
Rugby-Remsen Village,2025,136
Rugby-Remsen Village,2026,10
Schuylerville-Throgs Neck-Edgewater Park,2017,48
Schuylerville-Throgs Neck-Edgewater Park,2018,38
Schuylerville-Throgs Neck-Edgewater Park,2019,46
Schuylerville-Throgs Neck-Edgewater Park,2020,10
Schuylerville-Throgs Neck-Edgewater Park,2022,11
Schuylerville-Throgs Neck-Edgewater Park,2023,28
Schuylerville-Throgs Neck-Edgewater Park,2024,37
Schuylerville-Throgs Neck-Edgewater Park,2025,46
Schuylerville-Throgs Neck-Edgewater Park,2026,3
Seagate-Coney Island,2017,65
Seagate-Coney Island,2018,76
Seagate-Coney Island,2019,82
Seagate-Coney Island,2020,25
Seagate-Coney Island,2021,2
Seagate-Coney Island,2022,22
Seagate-Coney Island,2023,56
Seagate-Coney Island,2024,78
Seagate-Coney Island,2025,84
Seagate-Coney Island,2026,10
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2017,63
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2018,79
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2019,55
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2020,13
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2021,1
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2022,20
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2023,55
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2024,55
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2025,46
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2026,5
SoHo-TriBeCa-Civic Center-Little Italy,2017,58
SoHo-TriBeCa-Civic Center-Little Italy,2018,51
SoHo-TriBeCa-Civic Center-Little Italy,2019,31
SoHo-TriBeCa-Civic Center-Little Italy,2020,9
SoHo-TriBeCa-Civic Center-Little Italy,2021,4
SoHo-TriBeCa-Civic Center-Little Italy,2022,21
SoHo-TriBeCa-Civic Center-Little Italy,2023,30
SoHo-TriBeCa-Civic Center-Little Italy,2024,34
SoHo-TriBeCa-Civic Center-Little Italy,2025,22
Soundview-Bruckner,2017,147
Soundview-Bruckner,2018,145
Soundview-Bruckner,2019,105
Soundview-Bruckner,2020,14
Soundview-Bruckner,2021,1
Soundview-Bruckner,2022,14
Soundview-Bruckner,2023,58
Soundview-Bruckner,2024,75
Soundview-Bruckner,2025,90
Soundview-Bruckner,2026,10
Soundview-Castle Hill-Clason Point-Harding Park,2017,110
Soundview-Castle Hill-Clason Point-Harding Park,2018,85
Soundview-Castle Hill-Clason Point-Harding Park,2019,113
Soundview-Castle Hill-Clason Point-Harding Park,2020,12
Soundview-Castle Hill-Clason Point-Harding Park,2022,22
Soundview-Castle Hill-Clason Point-Harding Park,2023,60
Soundview-Castle Hill-Clason Point-Harding Park,2024,73
Soundview-Castle Hill-Clason Point-Harding Park,2025,121
Soundview-Castle Hill-Clason Point-Harding Park,2026,12
South Jamaica,2017,152
South Jamaica,2018,150
South Jamaica,2019,97
South Jamaica,2020,9
South Jamaica,2021,1
South Jamaica,2022,29
South Jamaica,2023,45
South Jamaica,2024,79
South Jamaica,2025,86
South Jamaica,2026,12
South Ozone Park,2017,102
South Ozone Park,2018,105
South Ozone Park,2019,82
South Ozone Park,2020,14
South Ozone Park,2022,17
South Ozone Park,2023,31
South Ozone Park,2024,67
South Ozone Park,2025,86
South Ozone Park,2026,16
Springfield Gardens North,2017,50
Springfield Gardens North,2018,75
Springfield Gardens North,2019,45
Springfield Gardens North,2020,13
Springfield Gardens North,2022,13
Springfield Gardens North,2023,33
Springfield Gardens North,2024,76
Springfield Gardens North,2025,51
Springfield Gardens North,2026,9
Springfield Gardens South-Brookville,2017,41
Springfield Gardens South-Brookville,2018,50
Springfield Gardens South-Brookville,2019,39
Springfield Gardens South-Brookville,2020,15
Springfield Gardens South-Brookville,2021,1
Springfield Gardens South-Brookville,2022,9
Springfield Gardens South-Brookville,2023,15
Springfield Gardens South-Brookville,2024,36
Springfield Gardens South-Brookville,2025,28
Springfield Gardens South-Brookville,2026,5
Spuyten Duyvil-Kingsbridge,2017,57
Spuyten Duyvil-Kingsbridge,2018,56
Spuyten Duyvil-Kingsbridge,2019,55
Spuyten Duyvil-Kingsbridge,2020,9
Spuyten Duyvil-Kingsbridge,2022,15
Spuyten Duyvil-Kingsbridge,2023,45
Spuyten Duyvil-Kingsbridge,2024,57
Spuyten Duyvil-Kingsbridge,2025,51
Spuyten Duyvil-Kingsbridge,2026,2
St. Albans,2017,94
St. Albans,2018,123
St. Albans,2019,102
St. Albans,2020,16
St. Albans,2022,18
St. Albans,2023,59
St. Albans,2024,63
St. Albans,2025,111
St. Albans,2026,17
Stapleton-Rosebank,2017,47
Stapleton-Rosebank,2018,49
Stapleton-Rosebank,2019,55
Stapleton-Rosebank,2020,6
Stapleton-Rosebank,2021,4
Stapleton-Rosebank,2022,25
Stapleton-Rosebank,2023,63
Stapleton-Rosebank,2024,55
Stapleton-Rosebank,2025,57
Stapleton-Rosebank,2026,10
Starrett City,2017,61
Starrett City,2018,32
Starrett City,2019,40
Starrett City,2022,5
Starrett City,2023,9
Starrett City,2024,29
Starrett City,2025,23
Starrett City,2026,3
Steinway,2017,44
Steinway,2018,43
Steinway,2019,35
Steinway,2020,7
Steinway,2022,14
Steinway,2023,33
Steinway,2024,49
Steinway,2025,49
Steinway,2026,5
Stuyvesant Heights,2017,190
Stuyvesant Heights,2018,164
Stuyvesant Heights,2019,174
Stuyvesant Heights,2020,37
Stuyvesant Heights,2021,3
Stuyvesant Heights,2022,37
Stuyvesant Heights,2023,102
Stuyvesant Heights,2024,124
Stuyvesant Heights,2025,132
Stuyvesant Heights,2026,16
Stuyvesant Town-Cooper Village,2017,15
Stuyvesant Town-Cooper Village,2018,10
Stuyvesant Town-Cooper Village,2019,5
Stuyvesant Town-Cooper Village,2020,1
Stuyvesant Town-Cooper Village,2023,9
Stuyvesant Town-Cooper Village,2024,14
Stuyvesant Town-Cooper Village,2025,18
Stuyvesant Town-Cooper Village,2026,5
Sunset Park East,2017,46
Sunset Park East,2018,52
Sunset Park East,2019,42
Sunset Park East,2020,5
Sunset Park East,2021,1
Sunset Park East,2022,25
Sunset Park East,2023,32
Sunset Park East,2024,38
Sunset Park East,2025,46
Sunset Park East,2026,2
Sunset Park West,2017,52
Sunset Park West,2018,47
Sunset Park West,2019,36
Sunset Park West,2020,12
Sunset Park West,2021,1
Sunset Park West,2022,20
Sunset Park West,2023,46
Sunset Park West,2024,47
Sunset Park West,2025,52
Sunset Park West,2026,3
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2017,19
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2018,8
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2019,9
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2021,2
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2022,9
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2023,17
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2024,17
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2025,13
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2026,2
Turtle Bay-East Midtown,2017,50
Turtle Bay-East Midtown,2018,53
Turtle Bay-East Midtown,2019,48
Turtle Bay-East Midtown,2020,14
Turtle Bay-East Midtown,2022,23
Turtle Bay-East Midtown,2023,43
Turtle Bay-East Midtown,2024,42
Turtle Bay-East Midtown,2025,43
Turtle Bay-East Midtown,2026,3
University Heights-Morris Heights,2017,319
University Heights-Morris Heights,2018,256
University Heights-Morris Heights,2019,238
University Heights-Morris Heights,2020,43
University Heights-Morris Heights,2022,34
University Heights-Morris Heights,2023,176
University Heights-Morris Heights,2024,158
University Heights-Morris Heights,2025,203
University Heights-Morris Heights,2026,25
Upper East Side-Carnegie Hill,2017,31
Upper East Side-Carnegie Hill,2018,30
Upper East Side-Carnegie Hill,2019,24
Upper East Side-Carnegie Hill,2020,5
Upper East Side-Carnegie Hill,2021,3
Upper East Side-Carnegie Hill,2022,9
Upper East Side-Carnegie Hill,2023,29
Upper East Side-Carnegie Hill,2024,25
Upper East Side-Carnegie Hill,2025,17
Upper East Side-Carnegie Hill,2026,2
Upper West Side,2017,109
Upper West Side,2018,127
Upper West Side,2019,69
Upper West Side,2020,12
Upper West Side,2021,2
Upper West Side,2022,32
Upper West Side,2023,69
Upper West Side,2024,80
Upper West Side,2025,85
Upper West Side,2026,13
Van Cortlandt Village,2017,207
Van Cortlandt Village,2018,199
Van Cortlandt Village,2019,113
Van Cortlandt Village,2020,24
Van Cortlandt Village,2021,2
Van Cortlandt Village,2022,33
Van Cortlandt Village,2023,122
Van Cortlandt Village,2024,129
Van Cortlandt Village,2025,178
Van Cortlandt Village,2026,16
Van Nest-Morris Park-Westchester Square,2017,83
Van Nest-Morris Park-Westchester Square,2018,75
Van Nest-Morris Park-Westchester Square,2019,61
Van Nest-Morris Park-Westchester Square,2020,9
Van Nest-Morris Park-Westchester Square,2022,20
Van Nest-Morris Park-Westchester Square,2023,43
Van Nest-Morris Park-Westchester Square,2024,48
Van Nest-Morris Park-Westchester Square,2025,58
Van Nest-Morris Park-Westchester Square,2026,3
Washington Heights North,2017,142
Washington Heights North,2018,132
Washington Heights North,2019,129
Washington Heights North,2020,21
Washington Heights North,2021,4
Washington Heights North,2022,31
Washington Heights North,2023,131
Washington Heights North,2024,168
Washington Heights North,2025,168
Washington Heights North,2026,15
Washington Heights South,2017,217
Washington Heights South,2018,205
Washington Heights South,2019,161
Washington Heights South,2020,34
Washington Heights South,2021,1
Washington Heights South,2022,44
Washington Heights South,2023,143
Washington Heights South,2024,221
Washington Heights South,2025,191
Washington Heights South,2026,26
West Brighton,2017,19
West Brighton,2018,17
West Brighton,2019,16
West Brighton,2020,2
West Brighton,2022,12
West Brighton,2023,8
West Brighton,2024,12
West Brighton,2025,14
West Concourse,2017,189
West Concourse,2018,192
West Concourse,2019,158
West Concourse,2020,29
West Concourse,2021,3
West Concourse,2022,36
West Concourse,2023,99
West Concourse,2024,143
West Concourse,2025,169
West Concourse,2026,19
West Farms-Bronx River,2017,175
West Farms-Bronx River,2018,157
West Farms-Bronx River,2019,164
West Farms-Bronx River,2020,25
West Farms-Bronx River,2022,38
West Farms-Bronx River,2023,97
West Farms-Bronx River,2024,82
West Farms-Bronx River,2025,109
West Farms-Bronx River,2026,6
West New Brighton-New Brighton-St. George,2017,81
West New Brighton-New Brighton-St. George,2018,77
West New Brighton-New Brighton-St. George,2019,96
West New Brighton-New Brighton-St. George,2020,24
West New Brighton-New Brighton-St. George,2021,4
West New Brighton-New Brighton-St. George,2022,37
West New Brighton-New Brighton-St. George,2023,71
West New Brighton-New Brighton-St. George,2024,103
West New Brighton-New Brighton-St. George,2025,104
West New Brighton-New Brighton-St. George,2026,7
West Village,2017,49
West Village,2018,46
West Village,2019,34
West Village,2020,6
West Village,2022,16
West Village,2023,33
West Village,2024,30
West Village,2025,30
West Village,2026,8
Westchester-Unionport,2017,99
Westchester-Unionport,2018,122
Westchester-Unionport,2019,79
Westchester-Unionport,2020,16
Westchester-Unionport,2021,3
Westchester-Unionport,2022,15
Westchester-Unionport,2023,58
Westchester-Unionport,2024,70
Westchester-Unionport,2025,72
Westchester-Unionport,2026,6
Westerleigh,2017,11
Westerleigh,2018,13
Westerleigh,2019,8
Westerleigh,2020,1
Westerleigh,2021,3
Westerleigh,2022,7
Westerleigh,2023,8
Westerleigh,2024,8
Westerleigh,2025,10
Westerleigh,2026,4
Whitestone,2017,9
Whitestone,2018,17
Whitestone,2019,8
Whitestone,2022,5
Whitestone,2023,11
Whitestone,2024,18
Whitestone,2025,16
Whitestone,2026,5
Williamsbridge-Olinville,2017,358
Williamsbridge-Olinville,2018,283
Williamsbridge-Olinville,2019,281
Williamsbridge-Olinville,2020,51
Williamsbridge-Olinville,2022,74
Williamsbridge-Olinville,2023,183
Williamsbridge-Olinville,2024,167
Williamsbridge-Olinville,2025,238
Williamsbridge-Olinville,2026,28
Williamsburg,2017,15
Williamsburg,2018,9
Williamsburg,2019,11
Williamsburg,2022,2
Williamsburg,2023,7
Williamsburg,2024,7
Williamsburg,2025,18
Williamsburg,2026,5
Windsor Terrace,2017,7
Windsor Terrace,2018,8
Windsor Terrace,2019,3
Windsor Terrace,2020,6
Windsor Terrace,2022,2
Windsor Terrace,2023,6
Windsor Terrace,2024,8
Windsor Terrace,2025,4
Woodhaven,2017,60
Woodhaven,2018,74
Woodhaven,2019,86
Woodhaven,2020,12
Woodhaven,2022,6
Woodhaven,2023,35
Woodhaven,2024,51
Woodhaven,2025,68
Woodhaven,2026,9
Woodlawn-Wakefield,2017,137
Woodlawn-Wakefield,2018,164
Woodlawn-Wakefield,2019,141
Woodlawn-Wakefield,2020,18
Woodlawn-Wakefield,2022,27
Woodlawn-Wakefield,2023,68
Woodlawn-Wakefield,2024,69
Woodlawn-Wakefield,2025,101
Woodlawn-Wakefield,2026,9
Woodside,2017,40
Woodside,2018,33
Woodside,2019,39
Woodside,2020,5
Woodside,2022,5
Woodside,2023,33
Woodside,2024,47
Woodside,2025,54
Woodside,2026,6
Yorkville,2017,60
Yorkville,2018,58
Yorkville,2019,50
Yorkville,2020,14
Yorkville,2022,26
Yorkville,2023,56
Yorkville,2024,51
Yorkville,2025,55
Yorkville,2026,4
park-cemetery-etc-Bronx,2017,5
park-cemetery-etc-Bronx,2018,6
park-cemetery-etc-Bronx,2019,10
park-cemetery-etc-Bronx,2020,1
park-cemetery-etc-Bronx,2023,12
park-cemetery-etc-Bronx,2024,10
park-cemetery-etc-Bronx,2025,5
