nta_code,year,eviction_count
Briarwood-Jamaica Hills,2023,30
Briarwood-Jamaica Hills,2024,68
Briarwood-Jamaica Hills,2025,74
Briarwood-Jamaica Hills,2026,9
Brighton Beach,2017,47
Brighton Beach,2018,47
Brighton Beach,2019,46
Brighton Beach,2020,3
Brighton Beach,2022,21
Brighton Beach,2023,30
Brighton Beach,2024,40
Brighton Beach,2025,47
Brighton Beach,2026,10
Bronxdale,2017,156
Bronxdale,2018,175
Bronxdale,2019,144
Bronxdale,2020,17
Bronxdale,2021,3
Bronxdale,2022,23
Bronxdale,2023,123
Bronxdale,2024,117
Bronxdale,2025,100
Bronxdale,2026,11
Brooklyn Heights-Cobble Hill,2017,7
Brooklyn Heights-Cobble Hill,2018,8
Brooklyn Heights-Cobble Hill,2019,9
Brooklyn Heights-Cobble Hill,2020,1
Brooklyn Heights-Cobble Hill,2022,4
Brooklyn Heights-Cobble Hill,2023,6
Brooklyn Heights-Cobble Hill,2024,10
Brooklyn Heights-Cobble Hill,2025,8
Brownsville,2017,233
Brownsville,2018,201
Brownsville,2019,198
Brownsville,2020,32
Brownsville,2021,3
Brownsville,2022,64
Brownsville,2023,151
Brownsville,2024,171
Brownsville,2025,197
Brownsville,2026,19
Bushwick North,2017,76
Bushwick North,2018,78
Bushwick North,2019,63
Bushwick North,2020,13
Bushwick North,2022,26
Bushwick North,2023,59
Bushwick North,2024,61
Bushwick North,2025,56
Bushwick North,2026,4
Bushwick South,2017,128
Bushwick South,2018,123
Bushwick South,2019,121
Bushwick South,2020,11
Bushwick South,2021,2
Bushwick South,2022,49
Bushwick South,2023,135
Bushwick South,2024,148
Bushwick South,2025,125
Bushwick South,2026,8
Cambria Heights,2017,25
Cambria Heights,2018,23
Cambria Heights,2019,27
Cambria Heights,2020,5
Cambria Heights,2022,6
Cambria Heights,2023,12
Cambria Heights,2024,24
Cambria Heights,2025,19
Cambria Heights,2026,1
Canarsie,2017,128
Canarsie,2018,167
Canarsie,2019,142
Canarsie,2020,28
Canarsie,2022,41
Canarsie,2023,85
Canarsie,2024,73
Canarsie,2025,69
Canarsie,2026,12
Carroll Gardens-Columbia Street-Red Hook,2017,27
Carroll Gardens-Columbia Street-Red Hook,2018,34
Carroll Gardens-Columbia Street-Red Hook,2019,30
Carroll Gardens-Columbia Street-Red Hook,2020,3
Carroll Gardens-Columbia Street-Red Hook,2021,1
Carroll Gardens-Columbia Street-Red Hook,2022,14
Carroll Gardens-Columbia Street-Red Hook,2023,28
Carroll Gardens-Columbia Street-Red Hook,2024,20
Carroll Gardens-Columbia Street-Red Hook,2025,21
Carroll Gardens-Columbia Street-Red Hook,2026,3
Central Harlem North-Polo Grounds,2017,331
Central Harlem North-Polo Grounds,2018,333
Central Harlem North-Polo Grounds,2019,267
Central Harlem North-Polo Grounds,2020,40
Central Harlem North-Polo Grounds,2021,1
Central Harlem North-Polo Grounds,2022,43
Central Harlem North-Polo Grounds,2023,237
Central Harlem North-Polo Grounds,2024,333
Central Harlem North-Polo Grounds,2025,396
Central Harlem North-Polo Grounds,2026,47
Central Harlem South,2017,117
Central Harlem South,2018,78
Central Harlem South,2019,88
Central Harlem South,2020,14
Central Harlem South,2021,2
Central Harlem South,2022,27
Central Harlem South,2023,75
Central Harlem South,2024,118
Central Harlem South,2025,116
Central Harlem South,2026,10
Charleston-Richmond Valley-Tottenville,2017,3
Charleston-Richmond Valley-Tottenville,2018,5
Charleston-Richmond Valley-Tottenville,2019,15
Charleston-Richmond Valley-Tottenville,2020,2
Charleston-Richmond Valley-Tottenville,2022,7
Charleston-Richmond Valley-Tottenville,2023,11
Charleston-Richmond Valley-Tottenville,2024,25
Charleston-Richmond Valley-Tottenville,2025,12
Charleston-Richmond Valley-Tottenville,2026,2
Chinatown,2017,53
Chinatown,2018,36
Chinatown,2019,34
Chinatown,2020,6
Chinatown,2021,5
Chinatown,2022,12
Chinatown,2023,26
Chinatown,2024,35
Chinatown,2025,35
Chinatown,2026,2
Claremont-Bathgate,2017,168
Claremont-Bathgate,2018,143
Claremont-Bathgate,2019,129
Claremont-Bathgate,2020,29
Claremont-Bathgate,2022,16
Claremont-Bathgate,2023,89
Claremont-Bathgate,2024,81
Claremont-Bathgate,2025,105
Claremont-Bathgate,2026,10
Clinton,2017,128
Clinton,2018,116
Clinton,2019,124
Clinton,2020,25
Clinton,2021,4
Clinton,2022,48
Clinton,2023,114
Clinton,2024,128
Clinton,2025,122
Clinton,2026,17
Clinton Hill,2017,50
Clinton Hill,2018,44
Clinton Hill,2019,50
Clinton Hill,2020,10
Clinton Hill,2021,2
Clinton Hill,2022,21
Clinton Hill,2023,36
Clinton Hill,2024,30
Clinton Hill,2025,45
Clinton Hill,2026,3
Co-op City,2017,72
Co-op City,2018,77
Co-op City,2019,74
Co-op City,2020,17
Co-op City,2022,15
Co-op City,2023,38
Co-op City,2024,44
Co-op City,2025,74
Co-op City,2026,18
College Point,2017,48
College Point,2018,15
College Point,2019,24
College Point,2020,7
College Point,2022,7
College Point,2023,10
College Point,2024,27
College Point,2025,29
College Point,2026,4
Corona,2017,125
Corona,2018,133
Corona,2019,112
Corona,2020,18
Corona,2022,19
Corona,2023,70
Corona,2024,151
Corona,2025,162
Corona,2026,21
Crotona Park East,2017,143
Crotona Park East,2018,118
Crotona Park East,2019,101
Crotona Park East,2020,23
Crotona Park East,2022,14
Crotona Park East,2023,79
Crotona Park East,2024,104
Crotona Park East,2025,86
Crotona Park East,2026,8
Crown Heights North,2017,359
Crown Heights North,2018,342
Crown Heights North,2019,305
