geoid,county,borough,borocode,tract,nta_code,nta_name,cd_name
36061011900,061,Manhattan,1,011900,MN0502,Midtown-Times Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)
36061012500,061,Manhattan,1,012500,MN0502,Midtown-Times Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)
36061013100,061,Manhattan,1,013100,MN0502,Midtown-Times Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)
36061013700,061,Manhattan,1,013700,MN0502,Midtown-Times Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)
36061004400,061,Manhattan,1,004400,MN0601,Stuyvesant Town-Peter Cooper Village,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061006000,061,Manhattan,1,006000,MN0601,Stuyvesant Town-Peter Cooper Village,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061004800,061,Manhattan,1,004800,MN0602,Gramercy,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061005000,061,Manhattan,1,005000,MN0602,Gramercy,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061006400,061,Manhattan,1,006400,MN0602,Gramercy,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061006800,061,Manhattan,1,006800,MN0602,Gramercy,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061006200,061,Manhattan,1,006200,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061006600,061,Manhattan,1,006600,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061007001,061,Manhattan,1,007001,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061007002,061,Manhattan,1,007002,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061007200,061,Manhattan,1,007200,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061007800,061,Manhattan,1,007800,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061008000,061,Manhattan,1,008000,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061008601,061,Manhattan,1,008601,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061008800,061,Manhattan,1,008800,MN0603,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061008603,061,Manhattan,1,008603,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061009000,061,Manhattan,1,009000,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061009200,061,Manhattan,1,009200,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061009800,061,Manhattan,1,009800,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061010000,061,Manhattan,1,010000,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061010601,061,Manhattan,1,010601,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061010801,061,Manhattan,1,010801,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061010802,061,Manhattan,1,010802,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061010803,061,Manhattan,1,010803,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061011203,061,Manhattan,1,011203,MN0604,East Midtown-Turtle Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061008602,061,Manhattan,1,008602,MN0661,United Nations,MN06 East Midtown-Murray Hill (CD 6 Approximation)
36061014500,061,Manhattan,1,014500,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061014700,061,Manhattan,1,014700,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061014900,061,Manhattan,1,014900,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015101,061,Manhattan,1,015101,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015102,061,Manhattan,1,015102,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015301,061,Manhattan,1,015301,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015302,061,Manhattan,1,015302,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015501,061,Manhattan,1,015501,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015502,061,Manhattan,1,015502,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015700,061,Manhattan,1,015700,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061015900,061,Manhattan,1,015900,MN0701,Upper West Side-Lincoln Square,MN07 Upper West Side (CD 7 Approximation)
36061016100,061,Manhattan,1,016100,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061016300,061,Manhattan,1,016300,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061016500,061,Manhattan,1,016500,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061016700,061,Manhattan,1,016700,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061016900,061,Manhattan,1,016900,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061017100,061,Manhattan,1,017100,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061017300,061,Manhattan,1,017300,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061017500,061,Manhattan,1,017500,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061017700,061,Manhattan,1,017700,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061017900,061,Manhattan,1,017900,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061018100,061,Manhattan,1,018100,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061018300,061,Manhattan,1,018300,MN0702,Upper West Side (Central),MN07 Upper West Side (CD 7 Approximation)
36061018500,061,Manhattan,1,018500,MN0703,Upper West Side-Manhattan Valley,MN07 Upper West Side (CD 7 Approximation)
36061018700,061,Manhattan,1,018700,MN0703,Upper West Side-Manhattan Valley,MN07 Upper West Side (CD 7 Approximation)
36061018900,061,Manhattan,1,018900,MN0703,Upper West Side-Manhattan Valley,MN07 Upper West Side (CD 7 Approximation)
36061019100,061,Manhattan,1,019100,MN0703,Upper West Side-Manhattan Valley,MN07 Upper West Side (CD 7 Approximation)
36061019300,061,Manhattan,1,019300,MN0703,Upper West Side-Manhattan Valley,MN07 Upper West Side (CD 7 Approximation)
36061019500,061,Manhattan,1,019500,MN0703,Upper West Side-Manhattan Valley,MN07 Upper West Side (CD 7 Approximation)
36061010602,061,Manhattan,1,010602,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061011000,061,Manhattan,1,011000,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061011600,061,Manhattan,1,011600,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061011800,061,Manhattan,1,011800,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061012400,061,Manhattan,1,012400,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061012601,061,Manhattan,1,012601,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061012602,061,Manhattan,1,012602,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013201,061,Manhattan,1,013201,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013202,061,Manhattan,1,013202,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013203,061,Manhattan,1,013203,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013400,061,Manhattan,1,013400,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061023802,061,Manhattan,1,023802,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061023803,061,Manhattan,1,023803,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061023804,061,Manhattan,1,023804,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061011401,061,Manhattan,1,011401,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061011402,061,Manhattan,1,011402,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061012000,061,Manhattan,1,012000,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061012200,061,Manhattan,1,012200,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061012800,061,Manhattan,1,012800,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
