geoid,county,borough,borocode,tract,nta_code,nta_name,cd_name
36061024500,061,Manhattan,1,024500,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061024700,061,Manhattan,1,024700,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061024900,061,Manhattan,1,024900,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061025100,061,Manhattan,1,025100,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061025300,061,Manhattan,1,025300,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061025500,061,Manhattan,1,025500,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061026100,061,Manhattan,1,026100,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061026300,061,Manhattan,1,026300,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061026500,061,Manhattan,1,026500,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061026700,061,Manhattan,1,026700,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061026900,061,Manhattan,1,026900,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061027100,061,Manhattan,1,027100,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061027300,061,Manhattan,1,027300,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061027500,061,Manhattan,1,027500,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061027700,061,Manhattan,1,027700,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061027900,061,Manhattan,1,027900,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061028100,061,Manhattan,1,028100,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061028300,061,Manhattan,1,028300,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061028500,061,Manhattan,1,028500,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061028700,061,Manhattan,1,028700,MN1202,Washington Heights (North),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061029100,061,Manhattan,1,029100,MN1203,Inwood,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061029300,061,Manhattan,1,029300,MN1203,Inwood,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061029500,061,Manhattan,1,029500,MN1203,Inwood,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061029900,061,Manhattan,1,029900,MN1203,Inwood,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061030300,061,Manhattan,1,030300,MN1203,Inwood,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061030700,061,Manhattan,1,030700,MN1203,Inwood,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061031100,061,Manhattan,1,031100,MN1291,Highbridge Park,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061029700,061,Manhattan,1,029700,MN1292,Inwood Hill Park,MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061014300,061,Manhattan,1,014300,MN6491,Central Park,MN64 Central Park (JIA 64 Equivalent)
36081009500,081,Queens,4,009500,QN0101,Astoria (North)-Ditmars-Steinway,QN01 Astoria-Queensbridge (CD 1 Equivalent)
