zip_code,year,zori
10001,2015,4004.7246442357396
10001,2016,4025.8694525291808
10001,2017,3949.2101413060695
10001,2018,4000.842611951631
10001,2019,4149.545408123868
10001,2020,3830.8077421004887
10001,2021,4039.6016640922394
10001,2022,4811.150281100891
10002,2015,2948.6520926520802
10002,2016,2997.9160725169345
10002,2017,3041.8604193285482
10002,2018,3103.98677464655
10002,2019,3186.475663300225
10002,2020,2993.7539680507566
10002,2021,3027.2717189229293
10002,2022,3659.6065262371976
10003,2015,3292.243204926648
10003,2016,3351.5838989506888
10003,2017,3378.7394973609826
10003,2018,3432.77498348657
10003,2019,3522.553457363914
10003,2020,3307.8137757301597
10003,2021,3356.8997391964135
10003,2022,4107.530586517775
10004,2015,
10004,2016,
10004,2017,3178.77777513271
10004,2018,3208.947388982859
10004,2019,3327.259230738891
10004,2020,3052.8553572889055
10004,2021,3144.9845750824134
10004,2022,3879.592978583507
10005,2015,3391.6949926756765
10005,2016,3397.039512648667
10005,2017,3375.1969748930283
10005,2018,3483.9968283792573
10005,2019,3593.6235661296528
10005,2020,3427.519380693204
10005,2021,3471.4607590024207
10005,2022,4147.914034229893
10006,2015,
10006,2016,
10006,2017,
10006,2018,
10006,2019,
10006,2020,3000.7585402394775
10006,2021,3112.723264639261
10006,2022,3818.9928942774895
10007,2015,
10007,2016,
10007,2017,5437.430619768361
10007,2018,5505.911500389066
10007,2019,5756.954953861675
10007,2020,5505.268511924671
10007,2021,5739.709696906855
10007,2022,6630.125839038003
10009,2015,2815.6578931492954
10009,2016,2877.4700204578453
10009,2017,2912.6048755244133
10009,2018,2955.615722016828
10009,2019,3040.319365880518
10009,2020,2910.105288989137
10009,2021,2882.179414642538
10009,2022,3540.4448083286193
10010,2015,3548.644202163605
10010,2016,3601.0998810853575
10010,2017,3608.4946201111966
10010,2018,3637.7360199928967
10010,2019,3731.9217529919974
10010,2020,3468.3527971764815
10010,2021,3528.745966711478
10010,2022,4255.519311527143
10011,2015,3585.8981430352337
10011,2016,3638.3202373768595
10011,2017,3643.8333840138807
10011,2018,3708.30539194564
10011,2019,3795.918025518166
10011,2020,3597.9123304444583
10011,2021,3667.014530183958
10011,2022,4400.759333926618
10012,2015,3124.6583599159367
10012,2016,3175.7767943945146
10012,2017,3186.2180750325388
10012,2018,3240.132206647327
10012,2019,3346.511181759619
10012,2020,3154.5362184757264
10012,2021,3183.473864825814
10012,2022,3904.2686640705233
10013,2015,4690.455721831037
10013,2016,4729.925814725554
10013,2017,4762.533369238495
10013,2018,4867.387397901638
10013,2019,5026.820612070942
10013,2020,4798.681010932163
10013,2021,4921.823552307141
10013,2022,5880.292692674553
10014,2015,3395.7802367659083
10014,2016,3449.5861056979024
10014,2017,3485.015278210439
10014,2018,3552.594969977404
10014,2019,3677.749898077754
10014,2020,3520.8476894704436
10014,2021,3618.1351507558466
10014,2022,4408.689227588349
10016,2015,3484.403522951927
10016,2016,3501.0473066814284
10016,2017,3487.5385840719828
10016,2018,3529.5832266156667
10016,2019,3619.921564476878
10016,2020,3375.886225652996
10016,2021,3419.619114988949
10016,2022,4170.4534310177305
10017,2015,3003.1850446385847
10017,2016,3073.0212248244875
10017,2017,3062.581971671698
10017,2018,3053.7608464007894
10017,2019,3125.655597162758
10017,2020,2941.0131136833043
10017,2021,2981.3745332150897
10017,2022,3640.932021502366
10018,2015,3796.049181938685
10018,2016,3798.5134209477596
10018,2017,3792.363118691685
10018,2018,3839.6363622497884
10018,2019,3967.6119526366206
10018,2020,3676.197715372759
10018,2021,3800.3991611743672
10018,2022,4510.7067466168
10019,2015,3452.3668416254745
10019,2016,3457.672993276476
10019,2017,3450.236249793286
10019,2018,3461.791147385491
10019,2019,3528.255298638845
10019,2020,3309.753968459139
10019,2021,3364.4628315716855
10019,2022,4029.5372630037
10021,2015,2801.690354126575
10021,2016,2849.9632969263916
10021,2017,2879.1574750213967
10021,2018,2926.337416941264
10021,2019,3009.5176511294435
10021,2020,2861.482279848647
10021,2021,2810.829415321597
10021,2022,3466.045238077948
10022,2015,3345.472870078329
10022,2016,3388.488878678299
10022,2017,3394.6375842698676
10022,2018,3420.4545771075627
10022,2019,3489.3512102216105
10022,2020,3299.3767145072147
10022,2021,3247.041855768263
10022,2022,3988.3875898015563
10023,2015,3592.7804351838454
10023,2016,3615.481949009891
10023,2017,3593.251706766238
10023,2018,3641.6516059156406
10023,2019,3720.874212091627
10023,2020,3526.650567072007
10023,2021,3564.4938671968707
10023,2022,4277.96917020172
10024,2015,2950.0100084604346
10024,2016,2993.1789811964677
10024,2017,2992.7237195477996
10024,2018,3030.877251351219
10024,2019,3110.7847192834997
10024,2020,2983.966955578877
10024,2021,2948.5841089046003
10024,2022,3531.3680671648394
10025,2015,3094.5569637023787
10025,2016,3147.6075008359803
10025,2017,3142.16125082996
10025,2018,3175.0789332309614
10025,2019,3278.4062760922393
10025,2020,3097.7014444528645
10025,2021,3111.5243624211885
10025,2022,3693.827569051909
10026,2015,2550.070299291976
10026,2016,2642.12553577594
10026,2017,2678.775556332443
10026,2018,2739.938846121313
10026,2019,2800.2001747698414
10026,2020,2664.1634928272633
10026,2021,2630.9490697354518
10026,2022,3022.8120699903734
10027,2015,2542.3458122201396
10027,2016,2627.7285082382764
10027,2017,2663.832514180649
10027,2018,2719.36672382674
10027,2019,2787.6498000216875
10027,2020,2691.822857188006
10027,2021,2613.3541615024724
10027,2022,3011.7688713967686
10028,2015,2670.4336146500154
10028,2016,2729.2184591634914
10028,2017,2760.949950951306
10028,2018,2809.4038589192205
10028,2019,2892.3488240396237
10028,2020,2757.6439354187537
10028,2021,2676.9013926884095
10028,2022,3274.9351085139037
10029,2015,2315.1007002746496
10029,2016,2343.7807744041697
10029,2017,2439.5355728268046
10029,2018,2486.4862967660556
10029,2019,2542.4164409699797
10029,2020,2442.191794076292
10029,2021,2303.9646057999444
10029,2022,2715.832916842707
10030,2015,
10030,2016,
10030,2017,
10030,2018,
10030,2019,
10030,2020,2035.5927090244816
10030,2021,1985.9382031237835
10030,2022,2227.1888063938313
10031,2015,2005.3068402723475
10031,2016,2101.7992179309394
10031,2017,2146.772011976483
10031,2018,2192.116332322325
10031,2019,2243.019148477746
